Year,Leading Cause,Sex,Race Ethnicity,Deaths,Population Number,Death Rate,Age Adjusted Death Rate
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187.0,13357.1,14.0,12.7
2007,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,395.0,5149.9,76.7,88.4
2007,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1800.0,10526.3,171.0,161.7
2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969.0,11674.7,83.0,100.7
2007,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,51.0,,,
2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22.0,,,
2007,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3518.0,14347.5,245.2,167.4
2007,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,528.0,4839.6,109.1,145.9
2007,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1523.0,8522.7,178.7,229.4
2007,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1013.0,10904.2,92.9,163.5
2007,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,45.0,,,
2007,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,29.0,,,
2007,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3356.0,13375.8,250.9,213.7
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Black Non-Hispanic,87.0,10481.9,8.3,7.4
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163.0,8534.0,19.1,19.0
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,183.0,10892.9,16.8,17.9
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,10.0,,,
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,261.0,13384.6,19.5,17.6
2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,,,,
2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13.0,5200.0,2.5,3.2
2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,White Non-Hispanic,89.0,14354.8,6.2,3.5
2007,Septicemia (A40-A41),F,Black Non-Hispanic,89.0,10470.6,8.5,8.1
2007,Septicemia (A40-A41),F,Hispanic,49.0,11666.7,4.2,5.5
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,36.0,5294.1,6.8,8.5
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,70.0,10447.8,6.7,6.4
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,68.0,11724.1,5.8,6.6
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,,,,
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,193.0,14403.0,13.4,9.4
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53.0,5000.0,10.6,12.2
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,146.0,8488.4,17.2,18.1
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,186.0,11071.4,16.8,20.6
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,13.0,,,
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,,,,
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272.0,13399.0,20.3,18.4
2008,All Other Causes,F,Asian and Pacific Islander,214.0,5323.4,40.2,50.3
2008,All Other Causes,F,Black Non-Hispanic,1268.0,10479.3,121.0,116.1
2008,All Other Causes,F,Hispanic,885.0,11815.8,74.9,90.2
2008,All Other Causes,F,Not Stated/Unknown,42.0,,,
2008,All Other Causes,F,Other Race/ Ethnicity,19.0,,,
2008,All Other Causes,F,White Non-Hispanic,1706.0,14348.2,118.9,78.6
2008,All Other Causes,M,Asian and Pacific Islander,238.0,4979.1,47.8,63.3
2008,All Other Causes,M,Black Non-Hispanic,1216.0,8491.6,143.2,163.5
2008,All Other Causes,M,Hispanic,1069.0,11054.8,96.7,139.5
2008,All Other Causes,M,Not Stated/Unknown,67.0,,,
2008,All Other Causes,M,Other Race/ Ethnicity,8.0,,,
2008,All Other Causes,M,White Non-Hispanic,1824.0,13421.6,135.9,119.9
2008,Alzheimer's Disease (G30),F,White Non-Hispanic,151.0,14381.0,10.5,5.1
2008,Aortic Aneurysm and Dissection (I71),M,Other Race/ Ethnicity,,,,
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,286.0,8486.6,33.7,33.8
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8.0,,,
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,5.0,,,
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,65.0,5327.9,12.2,15.4
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267.0,10470.6,25.5,23.6
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,152.0,11782.9,12.9,16.4
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,13.0,,,
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,,,,
2008,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,379.0,14356.1,26.4,14.9
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,48.0,5000.0,9.6,14.1
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,206.0,8477.4,24.3,31.0
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124.0,11071.4,11.2,18.8
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,5.0,,,
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245.0,13388.0,18.3,15.4
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,6.0,,,
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,,,,
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6.0,,,
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,,,,
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63.0,11886.8,5.3,6.2
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,,,,
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Other Race/ Ethnicity,,,,
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149.0,11037.0,13.5,16.8
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30.0,5357.1,5.6,7.9
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,191.0,10494.5,18.2,17.1
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156.0,11818.2,13.2,16.8
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,,,,
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,,,,
2008,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,518.0,14349.0,36.1,21.4
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46.0,5000.0,9.2,16.1
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169.0,8492.5,19.9,26.4
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132.0,11092.4,11.9,22.8
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,10.0,,,
2008,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,347.0,13397.7,25.9,21.8
2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Asian and Pacific Islander,14.0,5000.0,2.8,3.0
2008,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,47.0,5340.9,8.8,11.3
2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380.0,10468.3,36.3,34.3
2008,Diabetes Mellitus (E10-E14),F,Hispanic,228.0,11813.5,19.3,24.1
2008,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,12.0,,,
2008,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,,,,
2008,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,210.0,14383.6,14.6,8.8
2008,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,52.0,5000.0,10.4,14.9
2008,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,265.0,8493.6,31.2,40.2
2008,Diabetes Mellitus (E10-E14),M,Hispanic,191.0,11040.5,17.3,31.3
2008,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,,,,
2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246.0,13442.6,18.3,15.6
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456.0,5327.1,85.6,117.7
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725.0,10476.7,260.1,243.6
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1445.0,11815.2,122.3,160.7
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,108.0,,,
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,35.0,,,
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6836.0,14355.3,476.2,245.5
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,546.0,4981.8,109.6,166.3
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077.0,8491.4,244.6,330.2
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1330.0,11055.7,120.3,228.0
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,92.0,,,
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39.0,,,
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5503.0,13422.0,410.0,342.3
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,32.0,5333.3,6.0,8.0
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,192.0,10491.8,18.3,17.1
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,104.0,11818.2,8.8,11.4
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,,,,
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,,,,
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,151.0,14381.0,10.5,5.9
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,31.0,5000.0,6.2,9.8
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,134.0,8481.0,15.8,20.9
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,,,,
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,165.0,13414.6,12.3,10.3
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,227.0,10460.8,21.7,20.0
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113.0,11770.8,9.6,9.6
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,356.0,8496.4,41.9,41.8
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222.0,11044.8,20.1,22.7
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9.0,,,
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,,,,
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,73.0,5328.5,13.7,19.1
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,318.0,10460.5,30.4,28.6
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,227.0,11822.9,19.2,25.5
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,14.0,,,
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,,,,
2008,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,621.0,14341.8,43.3,22.2
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,90.0,4972.4,18.1,30.2
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,222.0,8505.7,26.1,37.6
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,187.0,11065.1,16.9,35.5
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11.0,,,
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,5.0,,,
2008,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,529.0,13426.4,39.4,32.7
2008,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,5.0,,,
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,26.0,5306.1,4.9,4.5
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Not Stated/Unknown,,,,
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,30.0,5000.0,6.0,6.3
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,,,,
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,195.0,13448.3,14.5,13.1
2008,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,344.0,5325.1,64.6,73.8
2008,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1756.0,10477.3,167.6,156.3
2008,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1046.0,11819.2,88.5,104.7
2008,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36.0,,,
